이직여부,majorcat,school,area,sex,age,graduy,a001,industry,job,a010,a011,a012,a014,a016,a018,a020,a021,a116,a117,a118,a119,a122,a125,a126,a127,a128,a129,a130,a131,a132,a133,a134,a135,a136,a137,a138,a139,a140,a141,a142,a143,a144,a145,a146,a151,a153,a158,a159,a160,a161,a162,a166,a168,a281,a282,a388,e001,f001,f004,f006,f008,f009,f010,f011,f013,f170,f023,f071,f072,f074,f079,f080,f081,f082,f083,f084,f085,f086,f101,f124,f138,g001,h001,i018,i050,j021,l001,n083,k001,k042,k043,k044,k045,k046,k047,k048,k049,k050,k051,k052,k053,k055,k056,k057,q015,q016,q017,p001,p014,p016,p017,p018,p020,p024,p028z,p031z,p035,p036,p046,p039,p041,p043,p045,r023,r024,r025,r026,r027,wt
2,1,1,8,1,21.75,2018,2018,7,7,-1,3,1,8,1,0,1,1,5,25,0,0,112,112,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,6,1,2,2,1,2,1,1,1,2,2,2,6,1,2,2016,1,8,1,1,1,2016,2,7,1,2,3,4.1,70,0,0,30,0,0,0,2,2,2,2,2,1,2,1,2200,2,2,1,4,5,4,4,4,3,4,4,4,3,4,2,3,4,4,6,6,6,1,1,3,4,1,10,8,3,3,6,4,1,1008,2,2,6,30,0,0,0,1,20.94534284
1,1,1,8,1,25.25,2018,2018,7,1,2,2,1,1,6,1,1,1,5,45,3,5,180,180,2,2,3,3,2,3,2,2,2,2,2,3,3,2,2,2,2,3,3,6,3,5,1,1,2,1,1,1,3,2,4,1,1,2,2013,1,8,1,2,1,2013,2,7,1,3,3,3.9,80,0,5,15,0,0,0,2,1,1,2,2,1,2,1,2040,2,2,2,5,5,5,5,5,5,5,5,4,4,4,3,5,4,4,3,3,3,1,1,4,5,1,1,8,3,3,3,3,1,540,2,2,3,60,10,0,10,1,19.42039255
2,1,1,8,1,24.5,2018,2018,9,1,6,6,1,1,6,1,1,1,5,40,10,8,180,170,1,5,4,5,5,4,5,5,5,3,4,3,5,4,4,5,3,2,4,6,5,5,2,1,2,1,1,1,2,2,3,4,2,2,2014,1,5,1,1,1,2014,1,5,1,5,5,3.8,100,0,0,0,0,0,0,2,1,2,2,2,1,2,2,2000,1,2,1,5,5,5,5,4,5,5,3,5,4,5,1,5,2,2,6,7,7,1,1,3,2,1,5,5,3,3,6,4,1,1570,2,2,2,30,0,0,0,1,19.42039255
2,1,1,10,1,26,2018,2018,3,7,5,5,1,10,2,0,1,1,5,40,4,0,260,250,4,5,4,3,4,3,5,4,4,1,3,2,1,4,5,5,2,3,1,6,1,1,2,1,2,1,1,1,2,2,2,6,1,2,2013,1,10,1,1,1,2014,1,6,1,4,4,3.9,25,0,50,25,0,0,0,2,1,2,2,2,1,2,1,2600,2,2,2,5,5,5,3,4,5,4,5,5,5,5,1,5,1,1,1,7,4,1,2,1,1,1,10,10,6,5,7,4,3,1560,2,1,2,150,35,0,0,1,11.54982323
2,1,1,1,2,25.08333333,2017,2019,7,7,2,2,1,8,8,0,1,2,6,50,2,4,240,240,3,2,4,4,3,2,4,2,2,2,3,3,4,3,3,3,2,1,1,6,2,2,2,2,2,2,2,2,2,2,1,13,2,2,2015,1,8,1,1,1,2015,1,1,1,4,4,3,80,0,20,0,0,0,0,2,2,2,2,2,1,2,2,2500,2,2,2,5,4,4,3,4,4,5,5,5,4,4,3,4,3,3,5,6,4,1,2,6,2,1,1,8,3,1,6,1,3,0,2,-1,1,120,50,0,0,1,37.66898416
2,1,1,1,2,21.83333333,2018,2018,14,7,6,6,1,1,3,0,1,1,5,40,0,0,300,220,4,5,5,4,5,4,5,5,4,5,5,5,5,5,5,5,3,3,4,6,5,5,2,1,3,1,1,1,2,2,1,3,1,2,2016,1,1,1,1,1,2016,2,1,1,5,4,4,0,0,10,90,0,0,0,2,2,2,2,2,1,2,2,2000,1,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,1,1,3,4,1,1,1,3,3,4,2,1,3600,2,2,1,100,0,0,10,1,36.31465274
2,1,1,8,2,22,2018,2018,9,6,5,1,1,1,6,0,1,1,5,40,0,0,161,153,3,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,3,4,6,4,4,2,1,2,1,1,1,2,2,3,1,1,2,2016,1,1,1,1,1,2016,1,1,1,3,3,3,70,0,0,30,0,0,0,2,2,2,2,2,1,2,2,2000,2,2,1,5,5,5,3,3,4,4,4,4,4,4,4,4,3,3,5,5,5,1,1,3,7,1,1,1,5,3,6,3,1,1610,2,2,1,60,0,0,0,1,41.99524614
1,1,1,8,1,25.16666667,2018,2018,3,1,2,2,1,5,2,0,1,1,5,40,1,0,200,200,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,1,4,2,2,1,2,1,1,1,2,2,2,6,1,2,2013,1,1,1,1,1,2013,1,5,1,3,3,3,100,0,0,0,0,0,0,2,1,2,2,2,2,2,2,2400,2,2,2,4,5,4,3,3,4,4,4,3,4,4,3,4,4,4,5,4,4,1,2,1,1,1,1,5,5,5,6,5,3,2400,2,2,2,100,40,0,0,1,21.20367833
2,1,1,16,2,22.33333333,2018,2019,13,1,-1,3,1,16,3,0,1,1,5,40,0,0,175,175,3,3,4,4,4,4,4,2,4,4,3,4,3,3,3,3,4,4,1,1,1,1,2,1,2,1,1,1,2,2,10,2,2,2,2016,1,16,1,8,1,2016,1,1,1,3,3,4.1,0,0,0,100,0,0,0,2,2,2,2,2,2,2,2,2200,2,2,2,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,3,4,1,16,16,3,3,3,1,1,400,2,2,1,50,0,0,0,1,15.66034615
2,1,1,8,2,22.58333333,2018,2017,7,7,9,9,1,1,6,1,1,1,5,40,0,0,237,208,4,4,5,4,4,4,4,3,3,3,4,3,5,1,4,4,4,4,4,6,5,2,2,1,2,1,1,1,1,2,3,4,1,2,2015,1,8,1,2,1,2016,1,5,1,5,5,4.4,0,0,0,100,0,0,0,2,2,2,2,2,2,1,2,1900,1,2,1,4,4,5,5,3,3,4,4,4,4,4,3,3,3,3,5,6,6,1,1,3,5,1,8,8,3,3,4,4,1,2844,2,1,1,75,0,0,0,1,41.37170559
