row ID,SSL,BATHRM,HF_BATHRM,HEAT,HEAT_D,AC,NUM_UNITS,ROOMS,BEDRM,AYB,YR_RMDL,EYB,STORIES,SALEDATE,PRICE,QUALIFIED,SALE_NUM,GBA,BLDG_NUM,STYLE,STYLE_D,STRUCT,STRUCT_D,GRADE,GRADE_D,CNDTN,CNDTN_D,EXTWALL,EXTWALL_D,ROOF,ROOF_D,INTWALL,INTWALL_D,KITCHENS,FIREPLACES,USECODE,LANDAREA,GIS_LAST_MOD_DTTM
16691,1060    0034,1.0,1.0,7.0,Warm Cool,Y,1.0,6.0,3.0,1906.0,1987.0,1957,2.0,2001-01-19T00:00:00.000Z,0.0,0,1,1280,1,4.0,2 Story,7.0,Row Inside,4.0,Above Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,1.0,11,1200,2018-07-22T18:01:43.000Z
75883,4118    0818,1.0,0.0,7.0,Warm Cool,Y,1.0,7.0,3.0,1942.0,,1943,2.0,1900-01-01T00:00:00.000Z,,0,1,1056,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,11,1744,2018-07-22T18:01:43.000Z
24524,1357    0023,4.0,0.0,7.0,Warm Cool,Y,1.0,10.0,3.0,1987.0,,2001,2.0,1900-01-01T00:00:00.000Z,,0,1,2995,1,4.0,2 Story,1.0,Single,7.0,Excellent,3.0,Average,5.0,Stucco,2.0,Built Up,6.0,Hardwood,1.0,1.0,12,7690,2018-07-22T18:01:43.000Z
90524,5303    0016,1.0,1.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1947.0,,1957,1.75,1998-09-18T00:00:00.000Z,0.0,0,1,1066,1,4.0,2 Story,1.0,Single,3.0,Average,2.0,Fair,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,4000,2018-07-22T18:01:43.000Z
10698,0836    0034,1.0,0.0,13.0,Hot Water Rad,N,1.0,6.0,3.0,1900.0,1982.0,1960,2.0,1900-01-01T00:00:00.000Z,,0,1,1188,1,4.0,2 Story,6.0,Row End,5.0,Good Quality,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,3.0,Wood Floor,1.0,0.0,11,617,2018-07-22T18:01:43.000Z
61330,3251    0228,2.0,0.0,13.0,Hot Water Rad,N,1.0,8.0,4.0,1925.0,1990.0,1950,2.0,2005-09-08T00:00:00.000Z,0.0,0,1,1320,1,4.0,2 Story,7.0,Row Inside,3.0,Average,3.0,Average,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1790,2018-07-22T18:01:43.000Z
65860,3668    0043,2.0,0.0,13.0,Hot Water Rad,N,1.0,7.0,3.0,1943.0,,1954,2.0,2017-01-24T00:00:00.000Z,326400.0,1,4,1152,1,4.0,2 Story,8.0,Semi-Detached,3.0,Average,3.0,Average,14.0,Common Brick,2.0,Built Up,6.0,Hardwood,1.0,0.0,13,2087,2018-07-22T18:01:43.000Z
26469,1496    0065,2.0,2.0,7.0,Warm Cool,Y,1.0,8.0,5.0,1972.0,,1990,1.5,1900-01-01T00:00:00.000Z,,0,1,2256,1,3.0,1.5 Story Fin,1.0,Single,6.0,Very Good,5.0,Very Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,1.0,12,4000,2018-07-22T18:01:43.000Z
20514,1301    0656,1.0,1.0,13.0,Hot Water Rad,N,1.0,6.0,4.0,1932.0,,1950,2.0,2002-09-20T00:00:00.000Z,425000.0,1,1,1528,1,4.0,2 Story,7.0,Row Inside,5.0,Good Quality,4.0,Good,14.0,Common Brick,6.0,Metal- Sms,6.0,Hardwood,1.0,0.0,11,1584,2018-07-22T18:01:43.000Z
20702,1292    1118,4.0,1.0,7.0,Warm Cool,Y,1.0,8.0,4.0,1987.0,2017.0,2001,3.0,2017-09-11T00:00:00.000Z,1600000.0,1,3,2666,1,7.0,3 Story,7.0,Row Inside,7.0,Excellent,4.0,Good,14.0,Common Brick,1.0,Comp Shingle,6.0,Hardwood,1.0,2.0,11,2086,2018-07-22T18:01:43.000Z
